GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040100101,2,1802,Brad Miller,1610612754,Indiana Pacers,1,11,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-149,7,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,12,954,Kerry Kittles,1610612751,New Jersey Nets,1,10,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,150,192,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,13,979,Jermaine O'Neal,1610612754,Indiana Pacers,1,10,14,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,-6,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,19,1802,Brad Miller,1610612754,Indiana Pacers,1,9,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-42,129,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,23,954,Kerry Kittles,1610612751,New Jersey Nets,1,8,47,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,28,1897,Metta World Peace,1610612754,Indiana Pacers,1,8,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,207,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,29,467,Jason Kidd,1610612751,New Jersey Nets,1,7,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,32,467,Jason Kidd,1610612751,New Jersey Nets,1,7,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,33,979,Jermaine O'Neal,1610612754,Indiana Pacers,1,7,14,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-92,47,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,38,397,Reggie Miller,1610612754,Indiana Pacers,1,6,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,198,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,45,1496,Keith Van Horn,1610612751,New Jersey Nets,1,5,55,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,13,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,48,1902,Jeff Foster,1610612754,Indiana Pacers,1,5,36,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,60,1496,Keith Van Horn,1610612751,New Jersey Nets,1,4,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,61,397,Reggie Miller,1610612754,Indiana Pacers,1,4,20,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,65,979,Jermaine O'Neal,1610612754,Indiana Pacers,1,3,41,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,94,19,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,75,467,Jason Kidd,1610612751,New Jersey Nets,1,2,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,102,137,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,79,2030,Kenyon Martin,1610612751,New Jersey Nets,1,1,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,87,467,Jason Kidd,1610612751,New Jersey Nets,1,1,11,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-35,116,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,90,397,Reggie Miller,1610612754,Indiana Pacers,1,0,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,93,979,Jermaine O'Neal,1610612754,Indiana Pacers,1,0,2,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,119,28,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,99,446,Lucious Harris,1610612751,New Jersey Nets,2,11,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,85,144,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,102,2210,Richard Jefferson,1610612751,New Jersey Nets,2,11,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-84,144,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,103,1802,Brad Miller,1610612754,Indiana Pacers,2,10,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,7,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,118,979,Jermaine O'Neal,1610612754,Indiana Pacers,2,9,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,159,7,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,124,1425,Aaron Williams,1610612751,New Jersey Nets,2,8,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,94,158,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,125,979,Jermaine O'Neal,1610612754,Indiana Pacers,2,8,16,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,3,122,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,136,979,Jermaine O'Neal,1610612754,Indiana Pacers,2,7,6,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,142,954,Kerry Kittles,1610612751,New Jersey Nets,2,6,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,146,467,Jason Kidd,1610612751,New Jersey Nets,2,5,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,166,1897,Metta World Peace,1610612754,Indiana Pacers,2,4,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-200,89,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,170,979,Jermaine O'Neal,1610612754,Indiana Pacers,2,4,13,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-141,7,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,175,954,Kerry Kittles,1610612751,New Jersey Nets,2,3,30,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,176,979,Jermaine O'Neal,1610612754,Indiana Pacers,2,3,20,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,179,467,Jason Kidd,1610612751,New Jersey Nets,2,3,5,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-75,110,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,180,979,Jermaine O'Neal,1610612754,Indiana Pacers,2,2,43,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,0,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,188,1897,Metta World Peace,1610612754,Indiana Pacers,2,2,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-101,241,1,1,20020420,NJN,IND
Shot Chart Detail,0040100101,201,979,Jermaine O'Neal,1610612754,Indiana Pacers,2,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020420,NJN,IND
