GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041500101,3,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,11,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,64,174,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,6,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,11,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-6,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,12,2544,LeBron James,1610612739,Cleveland Cavaliers,1,10,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,18,202699,Tobias Harris,1610612765,Detroit Pistons,1,9,48,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,20,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,9,26,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,31,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,21,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,9,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,2,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,25,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,31,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-5,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,26,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,-11,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,29,202704,Reggie Jackson,1610612765,Detroit Pistons,1,7,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,203,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,30,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,35,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,6,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,200,-11,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,46,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,5,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,168,214,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,50,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,4,56,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,38,77,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,51,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,4,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,230,80,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,54,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,1,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,55,202704,Reggie Jackson,1610612765,Detroit Pistons,1,3,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,59,203521,Matthew Dellavedova,1610612739,Cleveland Cavaliers,1,3,8,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-16,72,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,67,2747,JR Smith,1610612739,Cleveland Cavaliers,1,2,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,126,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,72,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,1,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,137,223,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,75,203521,Matthew Dellavedova,1610612739,Cleveland Cavaliers,1,1,15,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-76,23,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,80,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,0,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,155,82,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,92,2544,LeBron James,1610612739,Cleveland Cavaliers,1,0,0,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,107,203493,Reggie Bullock,1610612765,Detroit Pistons,2,10,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-119,188,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,108,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,10,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-1,282,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,109,1626169,Stanley Johnson,1610612765,Detroit Pistons,2,10,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,204,146,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,112,203382,Aron Baynes,1610612765,Detroit Pistons,2,9,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,-11,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,119,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,9,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-5,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,128,203493,Reggie Bullock,1610612765,Detroit Pistons,2,8,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,21,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,131,1626169,Stanley Johnson,1610612765,Detroit Pistons,2,8,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,36,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,139,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,7,26,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-120,72,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,151,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,6,47,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,-19,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,154,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,6,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,163,208,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,161,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,2,5,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,163,188,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,167,203083,Andre Drummond,1610612765,Detroit Pistons,2,5,22,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,23,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,171,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,4,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,5,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,174,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,2,4,27,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,57,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,175,2544,LeBron James,1610612739,Cleveland Cavaliers,2,4,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,189,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,2,2,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,126,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,190,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,2,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-179,195,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,206,2747,JR Smith,1610612739,Cleveland Cavaliers,2,1,49,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,222,202699,Tobias Harris,1610612765,Detroit Pistons,2,0,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,-11,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,229,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,0,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-6,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,238,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,11,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,220,115,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,241,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,11,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,123,57,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,243,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,10,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,11,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,245,202699,Tobias Harris,1610612765,Detroit Pistons,3,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-225,115,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,251,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,9,26,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,36,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,252,202704,Reggie Jackson,1610612765,Detroit Pistons,3,9,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,96,100,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,254,2544,LeBron James,1610612739,Cleveland Cavaliers,3,8,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-117,154,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,260,203083,Andre Drummond,1610612765,Detroit Pistons,3,8,9,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,264,203083,Andre Drummond,1610612765,Detroit Pistons,3,7,31,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,272,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,6,38,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,56,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,275,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,6,3,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-71,72,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,278,2747,JR Smith,1610612739,Cleveland Cavaliers,3,5,17,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-11,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,279,203083,Andre Drummond,1610612765,Detroit Pistons,3,5,1,Made Shot,Hook Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,28,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,284,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,4,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-79,151,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,286,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,3,3,56,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,288,1626169,Stanley Johnson,1610612765,Detroit Pistons,3,3,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,47,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,305,203083,Andre Drummond,1610612765,Detroit Pistons,3,2,15,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-96,33,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,315,202697,Iman Shumpert,1610612739,Cleveland Cavaliers,3,0,54,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-25,210,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,339,202699,Tobias Harris,1610612765,Detroit Pistons,4,11,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,-1,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,342,203493,Reggie Bullock,1610612765,Detroit Pistons,4,11,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-238,95,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,347,2210,Richard Jefferson,1610612739,Cleveland Cavaliers,4,10,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,26,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,350,203521,Matthew Dellavedova,1610612739,Cleveland Cavaliers,4,10,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-125,195,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,356,2544,LeBron James,1610612739,Cleveland Cavaliers,4,9,23,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-10,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,368,203083,Andre Drummond,1610612765,Detroit Pistons,4,8,55,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-4,75,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,385,2210,Richard Jefferson,1610612739,Cleveland Cavaliers,4,7,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-212,0,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,394,202704,Reggie Jackson,1610612765,Detroit Pistons,4,6,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-165,203,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,404,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,5,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,97,228,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,408,202704,Reggie Jackson,1610612765,Detroit Pistons,4,5,16,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,409,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,4,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-19,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,445,202704,Reggie Jackson,1610612765,Detroit Pistons,4,2,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,449,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,4,2,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-10,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,464,2544,LeBron James,1610612739,Cleveland Cavaliers,4,1,24,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,18,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,491,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,0,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-238,85,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,497,202704,Reggie Jackson,1610612765,Detroit Pistons,4,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20160417,CLE,DET
Shot Chart Detail,0041500102,2,203083,Andre Drummond,1610612765,Detroit Pistons,1,11,37,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-92,57,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,13,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,10,25,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-1,141,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,15,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,10,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,107,11,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,30,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,8,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-43,252,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,31,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,8,22,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-92,75,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,32,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,7,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,56,252,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,33,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,7,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-37,277,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,34,202704,Reggie Jackson,1610612765,Detroit Pistons,1,7,30,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-117,129,1,1,20160420,CLE,DET
Shot Chart Detail,0041500102,42,202699,Tobias Harris,1610612765,Detroit Pistons,1,6,46,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20160420,CLE,DET
