GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040900101,6,201959,Taj Gibson,1610612741,Chicago Bulls,1,11,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-150,104,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,7,1515,Anthony Parker,1610612739,Cleveland Cavaliers,1,11,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,19,201149,Joakim Noah,1610612741,Chicago Bulls,1,9,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-3,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,22,1712,Antawn Jamison,1610612739,Cleveland Cavaliers,1,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-141,211,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,23,201565,Derrick Rose,1610612741,Chicago Bulls,1,9,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,154,85,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,26,201565,Derrick Rose,1610612741,Chicago Bulls,1,8,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-92,183,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,34,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,7,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,219,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,37,406,Shaquille O'Neal,1610612739,Cleveland Cavaliers,1,7,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,50,406,Shaquille O'Neal,1610612739,Cleveland Cavaliers,1,6,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,63,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,5,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-139,19,1,1,20100417,CLE,CHI
