GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041300101,2,2561,David West,1610612754,Indiana Pacers,1,11,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,-28,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,5,201579,Roy Hibbert,1610612754,Indiana Pacers,1,11,17,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,15,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,9,203544,Pero Antic,1610612737,Atlanta Hawks,1,10,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-17,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,18,2561,David West,1610612754,Indiana Pacers,1,10,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-7,151,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,20,2594,Kyle Korver,1610612737,Atlanta Hawks,1,9,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-24,258,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,23,201952,Jeff Teague,1610612737,Atlanta Hawks,1,9,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,121,145,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,39,200794,Paul Millsap,1610612737,Atlanta Hawks,1,7,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-5,244,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,45,201952,Jeff Teague,1610612737,Atlanta Hawks,1,7,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,48,201588,George Hill,1610612754,Indiana Pacers,1,6,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-13,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,57,203544,Pero Antic,1610612737,Atlanta Hawks,1,5,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,152,219,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,66,201952,Jeff Teague,1610612737,Atlanta Hawks,1,4,53,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,70,202362,Lance Stephenson,1610612754,Indiana Pacers,1,4,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-6,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,80,201588,George Hill,1610612754,Indiana Pacers,1,3,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-60,205,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,96,201960,DeMarre Carroll,1610612737,Atlanta Hawks,1,2,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-144,127,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,100,202331,Paul George,1610612754,Indiana Pacers,1,1,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-6,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,101,202714,Shelvin Mack,1610612737,Atlanta Hawks,1,1,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,155,108,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,113,202323,Evan Turner,1610612754,Indiana Pacers,1,0,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,95,137,1,1,20140419,IND,ATL
