GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0049800001,5,297,Alonzo Mourning,1610612748,Miami Heat,1,11,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-182,33,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,6,121,Patrick Ewing,1610612752,New York Knicks,1,11,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,9,121,Patrick Ewing,1610612752,New York Knicks,1,10,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,10,297,Alonzo Mourning,1610612748,Miami Heat,1,10,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-143,111,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,11,369,Charlie Ward,1610612752,New York Knicks,1,10,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-128,205,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,14,703,Kurt Thomas,1610612752,New York Knicks,1,9,55,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,63,1,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,15,469,Jamal Mashburn,1610612748,Miami Heat,1,9,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-192,78,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,16,275,Allan Houston,1610612752,New York Knicks,1,9,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-81,12,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,29,703,Kurt Thomas,1610612752,New York Knicks,1,7,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,143,115,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,42,136,P.J. Brown,1610612748,Miami Heat,1,6,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,47,121,Patrick Ewing,1610612752,New York Knicks,1,6,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,100,16,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,53,896,Tim Hardaway,1610612748,Miami Heat,1,5,36,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,63,16,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,54,275,Allan Houston,1610612752,New York Knicks,1,5,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,1,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,57,275,Allan Houston,1610612752,New York Knicks,1,4,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,68,297,Alonzo Mourning,1610612748,Miami Heat,1,3,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,74,275,Allan Houston,1610612752,New York Knicks,1,3,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-143,149,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,98,275,Allan Houston,1610612752,New York Knicks,1,1,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,16,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,102,297,Alonzo Mourning,1610612748,Miami Heat,1,0,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,51,70,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,103,913,Larry Johnson,1610612752,New York Knicks,1,0,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,115,51,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,104,297,Alonzo Mourning,1610612748,Miami Heat,1,0,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,105,913,Larry Johnson,1610612752,New York Knicks,1,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,158,89,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,114,297,Alonzo Mourning,1610612748,Miami Heat,2,11,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,125,469,Jamal Mashburn,1610612748,Miami Heat,2,9,33,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,8,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,130,84,Latrell Sprewell,1610612752,New York Knicks,2,9,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,152,84,Latrell Sprewell,1610612752,New York Knicks,2,6,27,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-36,61,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,156,136,P.J. Brown,1610612748,Miami Heat,2,5,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-186,33,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,157,84,Latrell Sprewell,1610612752,New York Knicks,2,5,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,8,194,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,160,703,Kurt Thomas,1610612752,New York Knicks,2,4,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,199,5,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,163,469,Jamal Mashburn,1610612748,Miami Heat,2,4,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,164,84,Latrell Sprewell,1610612752,New York Knicks,2,4,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,207,83,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,165,297,Alonzo Mourning,1610612748,Miami Heat,2,3,57,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,168,948,Marcus Camby,1610612752,New York Knicks,2,3,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,189,136,P.J. Brown,1610612748,Miami Heat,2,2,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,193,84,Latrell Sprewell,1610612752,New York Knicks,2,1,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,198,275,Allan Houston,1610612752,New York Knicks,2,1,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-113,36,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,222,896,Tim Hardaway,1610612748,Miami Heat,3,11,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,35,244,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,227,136,P.J. Brown,1610612748,Miami Heat,3,10,52,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,232,913,Larry Johnson,1610612752,New York Knicks,3,10,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,149,201,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,246,297,Alonzo Mourning,1610612748,Miami Heat,3,8,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-143,10,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,248,913,Larry Johnson,1610612752,New York Knicks,3,8,15,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,244,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,252,201,Chris Dudley,1610612752,New York Knicks,3,7,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,253,297,Alonzo Mourning,1610612748,Miami Heat,3,7,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-143,16,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,254,275,Allan Houston,1610612752,New York Knicks,3,7,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,294,896,Tim Hardaway,1610612748,Miami Heat,3,3,34,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,57,48,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,306,896,Tim Hardaway,1610612748,Miami Heat,3,2,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-102,106,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,308,913,Larry Johnson,1610612752,New York Knicks,3,1,56,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,27,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,309,297,Alonzo Mourning,1610612748,Miami Heat,3,1,39,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,23,46,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,311,121,Patrick Ewing,1610612752,New York Knicks,3,1,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-36,61,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,317,913,Larry Johnson,1610612752,New York Knicks,3,0,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,164,194,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,320,84,Latrell Sprewell,1610612752,New York Knicks,3,0,27,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,63,111,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,366,164,Chris Childs,1610612752,New York Knicks,4,9,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-42,143,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,369,84,Latrell Sprewell,1610612752,New York Knicks,4,8,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-48,83,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,384,84,Latrell Sprewell,1610612752,New York Knicks,4,7,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-121,14,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,386,84,Latrell Sprewell,1610612752,New York Knicks,4,6,51,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-76,10,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,390,164,Chris Childs,1610612752,New York Knicks,4,6,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,14,244,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,399,190,Duane Causwell,1610612748,Miami Heat,4,5,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,33,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,407,702,Voshon Lenard,1610612748,Miami Heat,4,4,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,244,55,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,408,275,Allan Houston,1610612752,New York Knicks,4,4,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,409,702,Voshon Lenard,1610612748,Miami Heat,4,4,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,244,21,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,410,275,Allan Houston,1610612752,New York Knicks,4,3,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,16,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,411,702,Voshon Lenard,1610612748,Miami Heat,4,3,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,179,181,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,412,948,Marcus Camby,1610612752,New York Knicks,4,3,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,420,948,Marcus Camby,1610612752,New York Knicks,4,2,28,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,437,221,Clar. Weatherspoon,1610612748,Miami Heat,4,1,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,10,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,440,948,Marcus Camby,1610612752,New York Knicks,4,0,40,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,23,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800001,442,1110,Mark Strickland,1610612748,Miami Heat,4,0,17,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,MIA,NYK
Shot Chart Detail,0049800002,4,339,Tom Gugliotta,1610612756,Phoenix Suns,1,11,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,201,10,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,5,375,Isaiah Rider,1610612757,Portland Trail Blazers,1,11,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,6,364,Rex Chapman,1610612756,Phoenix Suns,1,10,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,14,201,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,26,757,Damon Stoudamire,1610612757,Portland Trail Blazers,1,8,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,29,361,Clifford Robinson,1610612756,Phoenix Suns,1,8,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-143,166,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,33,375,Isaiah Rider,1610612757,Portland Trail Blazers,1,7,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,39,467,Jason Kidd,1610612756,Phoenix Suns,1,6,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,41,339,Tom Gugliotta,1610612756,Phoenix Suns,1,6,20,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,54,467,Jason Kidd,1610612756,Phoenix Suns,1,4,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,61,739,Rasheed Wallace,1610612757,Portland Trail Blazers,1,3,46,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,-10,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,64,375,Isaiah Rider,1610612757,Portland Trail Blazers,1,3,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,69,361,Clifford Robinson,1610612756,Phoenix Suns,1,3,13,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,27,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,70,717,Arvydas Sabonis,1610612757,Portland Trail Blazers,1,2,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-76,-3,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,77,278,Stacey Augmon,1610612757,Portland Trail Blazers,1,2,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,85,258,Brian Grant,1610612757,Portland Trail Blazers,1,1,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-3,76,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,96,258,Brian Grant,1610612757,Portland Trail Blazers,1,0,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990508,POR,PHX
Shot Chart Detail,0049800002,97,45,George McCloud,1610612756,Phoenix Suns,1,0,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,-3,1,1,19990508,POR,PHX
