GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040700101,6,101107,Marvin Williams,1610612737,Atlanta Hawks,1,11,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,192,8,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,7,708,Kevin Garnett,1610612738,Boston Celtics,1,10,49,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,59,41,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,14,1718,Paul Pierce,1610612738,Boston Celtics,1,9,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-189,146,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,17,1718,Paul Pierce,1610612738,Boston Celtics,1,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-123,238,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,36,708,Kevin Garnett,1610612738,Boston Celtics,1,7,23,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-102,5,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,40,1718,Paul Pierce,1610612738,Boston Celtics,1,6,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-107,224,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,50,200765,Rajon Rondo,1610612738,Boston Celtics,1,6,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,51,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,10,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-5,40,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,52,951,Ray Allen,1610612738,Boston Celtics,1,5,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,23,-209,97,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,53,201143,Al Horford,1610612737,Atlanta Hawks,1,5,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,12,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,54,200765,Rajon Rondo,1610612738,Boston Celtics,1,5,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-122,130,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,57,200765,Rajon Rondo,1610612738,Boston Celtics,1,4,52,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-5,72,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,69,2746,Josh Smith,1610612737,Atlanta Hawks,1,4,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,7,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,78,708,Kevin Garnett,1610612738,Boston Celtics,1,3,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,194,28,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,84,2207,Joe Johnson,1610612737,Atlanta Hawks,1,2,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,86,1710,Mike Bibby,1610612737,Atlanta Hawks,1,2,20,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-33,68,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,98,2735,Josh Childress,1610612737,Atlanta Hawks,1,1,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,2,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,132,2735,Josh Childress,1610612737,Atlanta Hawks,2,11,39,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,15,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,137,2735,Josh Childress,1610612737,Atlanta Hawks,2,11,6,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,64,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,140,101107,Marvin Williams,1610612737,Atlanta Hawks,2,10,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,186,2,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,146,708,Kevin Garnett,1610612738,Boston Celtics,2,9,45,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-135,5,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,159,2754,Tony Allen,1610612738,Boston Celtics,2,8,22,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,2,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,166,951,Ray Allen,1610612738,Boston Celtics,2,7,45,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-3,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,167,201143,Al Horford,1610612737,Atlanta Hawks,2,7,26,Made Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,31,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,172,201143,Al Horford,1610612737,Atlanta Hawks,2,6,52,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,173,208,Sam Cassell,1610612738,Boston Celtics,2,6,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-128,210,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,187,208,Sam Cassell,1610612738,Boston Celtics,2,5,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,66,176,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,206,201143,Al Horford,1610612737,Atlanta Hawks,2,3,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,0,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,213,2207,Joe Johnson,1610612737,Atlanta Hawks,2,2,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-158,187,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,214,1899,James Posey,1610612738,Boston Celtics,2,2,4,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-225,63,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,217,1718,Paul Pierce,1610612738,Boston Celtics,2,1,21,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-13,117,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,226,2207,Joe Johnson,1610612737,Atlanta Hawks,2,0,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,186,10,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,244,2570,Kendrick Perkins,1610612738,Boston Celtics,3,10,56,Made Shot,Putback Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,5,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,260,201143,Al Horford,1610612737,Atlanta Hawks,3,9,38,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,261,708,Kevin Garnett,1610612738,Boston Celtics,3,9,25,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,3,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,264,2207,Joe Johnson,1610612737,Atlanta Hawks,3,9,5,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,268,708,Kevin Garnett,1610612738,Boston Celtics,3,8,13,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,62,79,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,270,951,Ray Allen,1610612738,Boston Celtics,3,7,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-233,100,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,273,2746,Josh Smith,1610612737,Atlanta Hawks,3,7,26,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,23,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,274,951,Ray Allen,1610612738,Boston Celtics,3,7,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-87,123,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,277,201143,Al Horford,1610612737,Atlanta Hawks,3,6,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,278,951,Ray Allen,1610612738,Boston Celtics,3,6,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,135,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,280,951,Ray Allen,1610612738,Boston Celtics,3,5,40,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,15,81,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,283,1710,Mike Bibby,1610612737,Atlanta Hawks,3,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,5,247,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,290,2735,Josh Childress,1610612737,Atlanta Hawks,3,4,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,2,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,307,2207,Joe Johnson,1610612737,Atlanta Hawks,3,2,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-199,99,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,312,200765,Rajon Rondo,1610612738,Boston Celtics,3,1,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,121,174,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,315,200765,Rajon Rondo,1610612738,Boston Celtics,3,1,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,141,114,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,325,200765,Rajon Rondo,1610612738,Boston Celtics,3,0,10,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,59,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,360,708,Kevin Garnett,1610612738,Boston Celtics,4,9,56,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-77,64,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,363,200796,Leon Powe,1610612738,Boston Celtics,4,9,32,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,7,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,369,708,Kevin Garnett,1610612738,Boston Celtics,4,8,56,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,51,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,379,1899,James Posey,1610612738,Boston Celtics,4,8,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,380,2746,Josh Smith,1610612737,Atlanta Hawks,4,7,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,167,10,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,383,200796,Leon Powe,1610612738,Boston Celtics,4,7,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,5,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,384,2207,Joe Johnson,1610612737,Atlanta Hawks,4,7,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,3,257,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,385,208,Sam Cassell,1610612738,Boston Celtics,4,6,58,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,57,242,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,395,200796,Leon Powe,1610612738,Boston Celtics,4,5,53,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,416,201143,Al Horford,1610612737,Atlanta Hawks,4,4,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,43,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,423,1899,James Posey,1610612738,Boston Celtics,4,3,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,5,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,424,2585,Zaza Pachulia,1610612737,Atlanta Hawks,4,3,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,149,59,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,451,2754,Tony Allen,1610612738,Boston Celtics,4,2,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,8,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,457,200796,Leon Powe,1610612738,Boston Celtics,4,1,40,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,10,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,458,200978,Jeremy Richardson,1610612737,Atlanta Hawks,4,1,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-186,-21,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,459,2067,Eddie House,1610612738,Boston Celtics,4,1,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-41,243,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,460,201151,Acie Law,1610612737,Atlanta Hawks,4,1,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,467,201238,Mario West,1610612737,Atlanta Hawks,4,0,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-3,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700102,6,1718,Paul Pierce,1610612738,Boston Celtics,1,11,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-103,173,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,7,201143,Al Horford,1610612737,Atlanta Hawks,1,10,52,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,23,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,14,708,Kevin Garnett,1610612738,Boston Celtics,1,10,17,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,3,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,27,1710,Mike Bibby,1610612737,Atlanta Hawks,1,9,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-67,199,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,32,2746,Josh Smith,1610612737,Atlanta Hawks,1,8,18,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,35,200765,Rajon Rondo,1610612738,Boston Celtics,1,7,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-205,-9,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,38,951,Ray Allen,1610612738,Boston Celtics,1,7,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,5,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,50,1899,James Posey,1610612738,Boston Celtics,1,6,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,7,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,55,1899,James Posey,1610612738,Boston Celtics,1,5,47,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,2,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,69,200765,Rajon Rondo,1610612738,Boston Celtics,1,4,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,74,200796,Leon Powe,1610612738,Boston Celtics,1,3,52,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,76,951,Ray Allen,1610612738,Boston Celtics,1,3,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-227,100,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,79,101107,Marvin Williams,1610612737,Atlanta Hawks,1,2,54,Made Shot,Putback Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,5,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,82,708,Kevin Garnett,1610612738,Boston Celtics,1,2,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-18,229,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,85,2746,Josh Smith,1610612737,Atlanta Hawks,1,2,3,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,5,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,94,201151,Acie Law,1610612737,Atlanta Hawks,1,1,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,105,2585,Zaza Pachulia,1610612737,Atlanta Hawks,1,0,1,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,5,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,122,208,Sam Cassell,1610612738,Boston Celtics,2,11,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,3,212,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,123,201151,Acie Law,1610612737,Atlanta Hawks,2,10,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,1,202,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,132,208,Sam Cassell,1610612738,Boston Celtics,2,10,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,10,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,133,201151,Acie Law,1610612737,Atlanta Hawks,2,9,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,12,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,136,1899,James Posey,1610612738,Boston Celtics,2,9,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,-5,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,139,208,Sam Cassell,1610612738,Boston Celtics,2,9,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-156,118,1,1,20080423,BOS,ATL
Shot Chart Detail,0040700102,146,2207,Joe Johnson,1610612737,Atlanta Hawks,2,8,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,174,133,1,1,20080423,BOS,ATL
