GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0049900001,5,136,P.J. Brown,1610612748,Miami Heat,1,11,31,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,7,371,Terry Mills,1610612765,Detroit Pistons,1,11,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,5,252,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,8,136,P.J. Brown,1610612748,Miami Heat,1,10,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,13,469,Jamal Mashburn,1610612748,Miami Heat,1,10,20,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-51,134,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,19,371,Terry Mills,1610612765,Detroit Pistons,1,9,31,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,224,-10,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,21,105,Dan Majerle,1610612748,Miami Heat,1,9,2,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-227,46,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,25,255,Grant Hill,1610612765,Detroit Pistons,1,8,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-197,1,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,29,711,Jerry Stackhouse,1610612765,Detroit Pistons,1,7,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,-10,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,34,283,Lindsey Hunter,1610612765,Detroit Pistons,1,7,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,53,297,Alonzo Mourning,1610612748,Miami Heat,1,5,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,76,469,Jamal Mashburn,1610612748,Miami Heat,1,3,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-197,12,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,82,297,Alonzo Mourning,1610612748,Miami Heat,1,2,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,85,1630,Mikki Moore,1610612765,Detroit Pistons,1,2,4,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,33,51,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,95,180,John Crotty,1610612765,Detroit Pistons,1,1,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-139,141,1,1,20000422,MIA,DET
Shot Chart Detail,0049900001,127,966,Jerome Williams,1610612765,Detroit Pistons,2,9,40,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,14,48,1,1,20000422,MIA,DET
